"id";"ville";"code";"ville_redressee";"long";"lat";"province";"departement";"type";"poste";"PG";"PP";"L";"E";"B";"SB";"C";"T";"total"
181;"Espaillon";12096;"Espalion";"2.76667";"44.5167";"Montauban";"Rhodez";"Brigade";0;;;;;;1;4;;5
183;"Etain";55181;"Étain";"5.63333";"49.2167";"Lorraine";"Bar le duc";"Brigade";0;;;;1;;1;4;;6
184;"Etampes";91223;"Étampes";"2.15";"48.4333";"Paris";"Melun";"Brigade";1;;;;1;;;4;;5
185;"Etoges";51238;"Étoges";"3.85";"48.8833";"Champagne";"Challons";"Brigade";0;;;;;;1;4;;5
186;"Eu";76255;"Eu";"1.41667";"50.05";"Rouen";"Rouen";"Brigade";1;;;;1;;;4;;5
187;"Evaux";23076;"Évaux-les-Bains";"2.48333";"46.1667";"Bourbonnais";"Gueret";"Brigade";0;;;;;;1;4;;5
188;"Evreux";27229;"Évreux";"1.15";"49.0167";"Rouen";"Rouen";"Brigade";1;;;;1;;;4;;5
189;"Evron";53097;"Évron";"-0.4";"48.1667";"Maine";"Le Mans";"Brigade";0;;;;;;1;4;;5
190;"Falaise";14258;"Falaise";"-0.2";"48.9";"Alençon";"Falaise";"D. de la P. Générale";1;;;1;1;;;4;;6
191;"Fer Champenoise";51248;"Fère-Champenoise";"3.98333";"48.75";"Champagne";"Challons";"Brigade";0;;;;;;1;4;;5
192;"Figeac";46102;"Figeac";"2.03333";"44.6";"Montauban";"Cahors";"Brigade";0;;;;1;;;4;;5
193;"Fismes";51250;"Fismes";"3.68333";"49.3";"Champagne";"Reims";"Brigade";1;;;;;;1;4;;5
194;"Fontainebleau";77186;"Fontainebleau";"2.7";"48.4";"Paris";"Melun";"Brigade";1;;;;1;;;4;;5
195;"Fontenay le Comte";85092;"Fontenay-le-Comte";"-0.816667";"46.4667";"Poitou";"Fontenay le Comte";"D. de la P. Générale";0;;;1;;;1;4;;6
196;"Fougeres";35115;"Fougères";"-1.2";"48.35";"Bretagne";"Rennes";"Brigade";0;;;;;;1;4;;5
197;"Fréjus";83061;"Fréjus";"6.73611";"43.4339";"Provence";"Aix";"Brigade";1;;;;;1;;4;;5
198;"Fronton";31202;"Fronton";"1.4";"43.85";"Languedoc";"Toulouse";"Brigade";0;;;;;;1;4;;5
199;"Gacé";61181;"Gacé";"0.3";"48.8";"Alençon";"Falaise";"Brigade";0;;;;;;1;4;;5
200;"Gange";34111;"Ganges";"3.7";"43.9333";"Languedoc";"Montpellier";"Brigade";0;;;;;;1;4;;5
201;"Gannat";3118;"Gannat";"3.2";"46.1";"Bourbonnais";"Moulins";"Brigade";1;;;;;1;;4;;5
202;"Gap";5061;"Gap";"6.08333";"44.5667";"Dauphiné";"Gap";"D. de la P. Générale";0;;;1;;;1;4;;6
203;"Gex";1173;"Gex";"6.06667";"46.3333";"Bourgogne";"Gex";"D. de la P. Générale";0;;1;;;1;;4;;6
204;"Gien";45155;"Gien";"2.63333";"47.7";"Orléanais";"Orléans";"Brigade";0;;;;;1;;4;;5
205;"Givet";8190;"Givet";"4.81667";"50.1333";"Hainaut";"Valenciennes";"Brigade";1;;;;;;1;4;;5
206;"Gournay";93033;"Gournay-sur-Marne";"2.56667";"48.8667";"Soissonnais";"Clermont";"Brigade";1;;;;;;1;4;;5
208;"Grai";70279;"Gray";"5.58333";"47.45";"Bourgogne";"Vezoul";"Brigade";0;;;;1;;;4;;5
207;"Grasse";6069;"Grasse";"6.91667";"43.6667";"Provence";"Aix";"Brigade";0;;;;;;1;4;;5
209;"Grenade";31232;"Grenade";"1.29361";"43.7722";"Béarn";"Auch";"Brigade";0;;;;;;1;4;;5
210;"Grenoble";38185;"Grenoble";"5.71667";"45.1667";"Dauphiné";"Grenoble";"P. Générale";1;1;;1;1;;1;8;1;13
211;"Guer";56075;"Guer";"-2.11667";"47.9";"Bretagne";"Rennes";"Brigade";1;;;;;;1;4;;5
212;"Gueret";23096;"Guéret";"1.86667";"46.1667";"Bourbonnais";"Gueret";"D. de la P. Générale";0;;;1;;;1;4;;6
213;"Guingamp";22070;"Guingamp";"-3.15";"48.55";"Bretagne";"Rennes";"Brigade";1;;;;;1;;4;;5
214;"Guise";2361;"Guise";"3.63333";"49.9";"Soissonnais";"Laon";"Brigade";1;;;;1;;;4;;5
215;"Haboudange";57281;"Haboudange";"6.61667";"48.8833";"Trois Evêchés";"Metz";"Brigade";1;;;;;;1;4;;5
216;"Haguenau";67180;"Haguenau";"7.78333";"48.8167";"Alsace";"Strasbourg";"Brigade";1;;;;;;1;4;;5
217;"Hennebon";56083;"Hennebont";"-3.28333";"47.8";"Bretagne";"Vannes";"Brigade";1;;;;;1;;4;;5
218;"Hesdin";62447;"Hesdin";"2.03333";"50.3667";"Artois";"Arras";"Brigade";1;;;;;;1;4;;5
219;"Hirson";2381;"Hirson";"4.08333";"49.9167";"Soissonnais";"Laon";"Brigade";0;;;;;1;;4;;5
220;"Illiers";28196;"Illiers-Combray";"1.2475";"48.3006";"Orléanais";"Chartres";"Brigade";0;;;;;;1;4;;5
221;"Ingrandes";49160;"Ingrandes";"-0.916667";"47.4";"Anjou";"Angers";"Brigade";1;;;;;;1;4;;5
222;"Issoire";63178;"Issoire";"3.25";"45.55";"Auvergne";"Riom";"Brigade";1;;;;1;;;4;;5
223;"Issoudun";36088;"Issoudun";2;"46.95";"Berry";"Chatillon";"Brigade";0;;;;1;;;4;;5
224;"Ivry";21318;"Ivry-en-Montagne";"4.63333";"47.0333";"Bourgogne";"Autun";"Brigade";0;;;;;;1;4;;5
225;"Joigny";89206;"Joigny";"3.4";"47.9833";"Paris";"Sens";"Brigade";1;;;;;1;;4;;5
226;"Joinville";52250;"Joinville";"5.13333";"48.45";"Champagne";"Langres";"Brigade";1;;;;1;;;4;;5
227;"Jussey";70292;"Jussey";"5.9";"47.8167";"Bourgogne";"Vezoul";"Brigade";0;;;;;1;;4;;5
228;"Karhais";29024;"Carhaix-Plouguer";"-3.58333";"48.2833";"Bretagne";"Quimper";"Brigade";0;;;;;;1;4;;5
229;"La Brelle";69010;"L'Arbresle";"4.61667";"45.8333";"Lyonnais";"Lyon";"Brigade";1;;;;;;1;4;;5
230;"La Charité";58059;"La Charité-sur-Loire";"3.01889";"47.177";"Berry";"Bourges";"Brigade";1;;;;1;1;;8;;10
231;"La Chataigneraie";85059;"La Châtaigneraie";"-0.733333";"46.65";"Poitou";"Fontenay le Comte";"Brigade";0;;;;;;1;4;;5
232;"La Chatre";36046;"La Châtre";"1.98333";"46.5833";"Berry";"Bourges";"Brigade";0;;;;;;1;4;;5
233;"La Fère";2304;"La Fère";"3.36667";"49.6667";"Soissonnais";"Laon";"Brigade";1;;;;1;;;4;;5
234;"La Ferté Bernard";"‎72132";"La Ferté-Bernard";"0.666667";"48.1833";"Maine";"Le Mans";"Brigade";1;;;;1;;;4;;5
235;"La Ferté Sen...te";45146;"La Ferté-Saint-Aubin";"1.93333";"47.7167";"Orléanais";"Orléans";"Brigade";1;;;;;;1;4;;5
236;"La Flèche";72154;"La Flèche";"-0.083333";"47.7";"Anjou";"Angers";"Brigade";1;;;;1;;;4;;5
247;"La Pacaudière";42163;"La Pacaudière";"3.86667";"46.1833";"Lyonnais";"Roane";"Brigade";1;;;;1;;;4;;5
248;"La Rochelle";17300;"La Rochelle";"-1.15";"46.1667";"Aunix";"La Rochelle";"P. Générale";1;1;;1;1;;1;8;1;13
237;"Lagny";77243;"Lagny-sur-Marne";"2.71667";"48.8667";"Paris";"Meaux";"Brigade";0;;;;1;;;4;;5
238;"Lambale";22093;"Lamballe";"-2.51667";"48.4667";"Bretagne";"Rennes";"Brigade";1;;;;;;1;4;;5
239;"Landerneau";29103;"Landerneau";"-4.25";"48.45";"Bretagne";"Quimper";"Brigade";1;;;;1;;;4;;5
240;"Landreci";59331;"Landrecies";"3.7";"50.1333";"Hainaut";"Valenciennes";"Brigade";1;;;;;1;;4;;5
241;"Langeac";43112;"Langeac";"3.48333";"45.1";"Auvergne";"Riom";"Brigade";0;;;;;;1;4;;5
242;"Langeais";37123;"Langeais";"0.4";"47.3333";"Touraine";"Tours";"Brigade";1;;;;;1;;4;;5
243;"Langennerie";"‎45093";"Chevilly";"1.88333";"48.0333";"Orléanais";"Orléans";"Brigade";0;;;;;1;;4;;5
244;"Langon";33227;"Langon";"-0.25";"44.55";"Guyenne";"Bordeaux";"Brigade";0;;;;;1;;4;;5
245;"Langres";52269;"Langres";"5.33333";"47.8667";"Champagne";"Langres";"D. de la P. Générale";1;;;1;1;;1;8;;11
246;"Laon";2408;"Laon";"3.61667";"49.5667";"Soissonnais";"Laon";"D. de la P. Générale";1;;;1;;;1;4;;6
251;"Launoi";51367;"Le Mesnil-sur-Oger";"4.01667";"48.95";"Champagne";"Reims";"Brigade";0;;;;;1;;4;;5
249;"Laval";53130;"Laval";"-0.766667";"48.0667";"Anjou";"Château-Gontier";"Brigade";1;;;;1;;;4;;5
250;"Lavaur";81140;"Lavaur";"1.81667";"43.7";"Languedoc";"Toulouse";"Brigade";0;;;;;;1;4;;5
252;"Le Blanc";36018;"Le Blanc";"1.06667";"46.6333";"Berry";"Bourges";"Brigade";0;;;;;;1;4;;5
253;"Le Boulon";"Ancienne commune";"Le Boulon";"2.983044";"42.714608";"Roussillon";"Perpignan";"Brigade";1;;;;;1;;4;;5
254;"Le Chêne";10095;"Le Chêne";"4.18333";"48.55";"Champagne";"Reims";"Brigade";1;;;;;;1;4;;5
256;"Le Donjon";3103;"Le Donjon";"3.8";"46.35";"Bourbonnais";"Moulins";"Brigade";0;;;;;1;;4;;5
257;"Le Mans";72181;"Le Mans";"0.2";48;"Maine";"Le Mans";"Brigade";1;;;1;1;;1;8;;11
259;"Le Puy";43157;"Le Puy-en-Velay";"3.88583";"45.0442";"Languedoc";"Le Puy";"D. de la P. Générale";0;;;1;1;;1;8;;11
255;"Lectoure";32208;"Lectoure";"0.616667";"43.9333";"Béarn";"Auch";"Brigade";0;;;;;1;;4;;5
258;"Lens";62498;"Lens";"2.83333";"50.4333";"Artois";"Arras";"Brigade";1;;;;;1;;4;;5
260;"Lesparre";33240;"Lesparre-Médoc";"-0.933333";"45.3";"Guyenne";"Bordeaux";"Brigade";0;;;;;1;;4;;5
261;"Lihons";80481;"Lihons";"2.76667";"49.8167";"Rouen";"Rouen";"Brigade";0;;;;;;1;4;;5
263;"Lille";59350;"Lille";"3.06667";"50.6333";"Flandres";"Lille";"P. Générale";1;1;;1;1;1;1;12;1;18
262;"Lillers";62516;"Lillers";"2.48333";"50.5667";"Artois";"Arras";"Brigade";1;;;;;;1;4;;5
264;"Limoges";87085;"Limoges";"1.25";"45.85";"Limousin";"Limoges";"P. Générale";1;1;;1;;1;1;8;1;13
265;"Lipostey";40156;"Liposthey";"-0.883333";"44.3167";"Guyenne";"Bordeaux";"Brigade";1;;;;;;1;4;;5
266;"Loches";37132;"Loches";1;"47.1333";"Touraine";"Tours";"Brigade";1;;;;;;1;4;;5
267;"Lodeves";34142;"Lodève";"3.31667";"43.7167";"Languedoc";"Montpellier";"Brigade";0;;;;1;;;4;;5
268;"Lombez";32213;"Lombez";"0.916667";"43.4833";"Béarn";"Auch";"Brigade";0;;;;;;1;4;;5
269;"Longwy";54323;"Longwy";"5.76667";"49.5167";"Trois Evêchés";"Verdun";"Brigade";1;;;;;;1;4;;5
270;"Lons-le-Saunier";39300;"Lons-le-Saunier";"5.55";"46.6667";"Bourgogne";"Lons-le-Saunier";"D. de la P. Générale";0;;;1;;;1;4;;6
272;"Louans";37134;"Louans";"0.75";"47.1833";"Bourgogne";"Chalons";"Brigade";0;;;;;;1;4;;5
271;"Loudun";86137;"Loudun";"0.066667";47;"Touraine";"Tours";"Brigade";0;;;;1;;;4;;5
273;"Louvier";27375;"Louviers";"1.16667";"49.2167";"Rouen";"Rouen";"Brigade";0;;;;;1;;4;;5
274;"Louvres";95351;"Louvres";"2.5";"49.0333";"Paris";"Senlis";"Brigade";1;;;;;1;;4;;5
275;"Luçon";85128;"Luçon";"-1.16667";"46.45";"Poitou";"Fontenay le Comte";"Brigade";0;;;;;1;;4;;5
276;"Luneville";54329;"Lunéville";"6.5";"48.6";"Lorraine";"Nancy";"Brigade";1;;;;1;;1;4;;6
277;"Lure";70310;"Luré";"6.5";"47.6833";"Bourgogne";"Vezoul";"Brigade";1;;;;;1;;4;;5
278;"Lusignan";86139;"Lusignan";"0.116667";"46.4333";"Poitou";"Poitiers";"Brigade";1;;;;;;1;4;;5
279;"Lyon";69123;"Lyon";"4.84139";"45.7589";"Lyonnais";"Lyon";"P. Générale";1;1;;1;;1;1;8;1;13
280;"Mâcon";71270;"Mâcon";"4.83333";"46.3";"Bourbonnais";"Mâcon";"D. de la P. Générale";1;;1;1;;1;;4;;7
281;"Magny";2819;"Vincy-Reuil-et-Magny";"4.0594";"49.6623";"Rouen";"Rouen";"Brigade";1;;;;;;1;4;;5
282;"Maintenon";28227;"Maintenon";"1.58333";"48.5833";"Orléanais";"Chartres";"Brigade";1;;;;;1;;4;;5
283;"Mallemort";13053;"Mallemort";"5.18333";"43.7333";"Provence";"Aix";"Brigade";0;;;;;1;;4;;5
284;"Manosque";4112;"Manosque";"5.78333";"43.8333";"Provence";"Digne";"Brigade";0;;;;;1;;4;;5
285;"Mansle";16206;"Mansle";"0.183333";"45.8667";"Limousin";"Angoulême";"Brigade";0;;;;1;;;4;;5
286;"Mantes";78361;"Mantes-la-Jolie";"1.71667";"48.9833";"Paris";"Mantes";"D. de la P. Générale";1;;;1;;1;;4;;6
287;"Marans";17218;"Marans";-1;"46.3";"Aunix";"Rochelle";"Brigade";0;;;;;;1;4;;5
288;"Marenne";17219;"Marennes";"-1.11667";"45.8167";"Aunix";"Saintes";"Brigade";0;;;;;1;;4;;5
289;"Marmande";47157;"Marmande";"0.166667";"44.5";"Guyenne";"Agen";"Brigade";1;;;;;;1;4;;5
291;"Marseille";13055;"Marseille";"5.37639";"43.2967";"Provence";"Aix";"Brigade";1;;;;1;;1;8;;10
290;"Marseille";60387;"Marseille-en-Beauvaisis";"1.95";"49.5833";"Paris";"Beauvais";"Brigade";0;;;;;;1;4;;5
292;"Maubert-Font...ne";8282;"Maubert-Fontaine";"4.43333";"49.8667";"Champagne";"Reims";"Brigade";0;;;;1;;;4;;5
293;"Maubeuge";59392;"Maubeuge";"3.96667";"50.2833";"Hainaut";"Valenciennes";"Brigade";1;;;;1;;;4;;5
294;"Mauriac";15120;"Mauriac";"2.33333";"45.2167";"Auvergne";"St Flour";"Brigade";0;;;;1;;;4;;5
295;"Mauzé";79170;"Mauzé-sur-le-Mignon";"-0.666667";"46.2";"Aunix";"Rochelle";"Brigade";0;;;;;;1;4;;5
296;"Mayenne";53147;"Mayenne";"-0.616667";"48.3";"Anjou";"Château-Gontier";"Brigade";1;;;;1;;;4;;5
297;"Meaux";77284;"Meaux";"2.86667";"48.95";"Paris";"Meaux";"D. de la P. Générale";1;;;1;;1;;4;;6
298;"Melun";77288;"Melun";"2.66667";"48.5333";"Paris";"Melun";"P. Générale";1;1;;1;1;1;;8;1;13
299;"Mende";48095;"Mende";"3.5";"44.5167";"Languedoc";"Puy";"Brigade";0;;;;1;;;4;;5
300;"Mesle";79174;"Mellé";"-0.133333";"46.2167";"Poitou";"Fontenay le Comte";"Brigade";1;;;;;1;;4;;5
301;"Messac";17231;"Messac";"-0.316667";"45.35";"Limousin";"Tulles";"Brigade";0;;;;;1;;4;;5
302;"Metz";57463;"Metz";"6.16667";"49.1333";"Trois Evêchés";"Metz";"P. Générale";1;1;;1;1;;1;8;1;13
303;"Meulan";78401;"Meulan-en-Yvelines";"1.9";"49.0167";"Paris";"Mantes";"Brigade";1;;;;;;1;4;;5
304;"Mézières";8105;"Charleville-Mézières";"4.71667";"49.7667";"Champagne";"Reims";"Brigade";1;;;;;1;;4;;5
306;"Milhaud";30169;"Milhaud";"4.3";"43.7833";"Montauban";"Rhodez";"Brigade";0;;;;1;;;4;;5
305;"Mirecourt";88304;"Mirecourt";"6.13333";"48.3";"Lorraine";"Epinal";"Brigade";0;;;;1;;1;4;;6
316;"Mont de Marsan";40192;"Mont-de-Marsan";"-0.5";"43.8833";"Béarn";"Mont de Marsan";"D. de la P. Générale";0;;;1;;1;;4;;6
325;"Mont-medi";55351;"Montmédy";"5.36667";"49.5167";"Trois Evêchés";"Verdun";"Brigade";1;;;;;;1;4;;5
330;"Mont-rejau";31390;"Montréjeau";"0.583333";"43.0833";"Béarn";"Auch";"Brigade";0;;;;;;1;4;;5
331;"Mont-reveau";49218;"Montrevault";"-1.05";"47.2667";"Anjou";"Angers";"Brigade";0;;;;;1;;4;;5
309;"Montaigu";63233;"Montaigut";"2.80833";"46.1833";"Auvergne";"Riom";"Brigade";0;;;;;;1;4;;5
308;"Montaigu";85146;"Montaigu";"-1.31667";"46.9833";"Poitou";"Montaigu";"D. de la P. Générale";0;;;1;;;1;4;;6
310;"Montandre";17240;"Montendre";"-0.4";"45.2833";"Aunix";"Saintes";"Brigade";0;;;;;1;;4;;5
311;"Montargis";45208;"Montargis";"2.75";48;"Orléanais";"Montargis";"D. de la P. Générale";1;;;1;1;;1;8;;11
312;"Montauban";82121;"Montauban";"1.35";"44.0167";"Montauban";"Montauban";"P. Générale";1;1;;;1;1;;8;1;12
313;"Montbar";21425;"Montbard";"4.33333";"47.6167";"Bourgogne";"Montbar";"D. de la P. Générale";0;;1;1;;1;;4;;7
314;"Montbrison";42147;"Montbrison";"4.05";"45.6";"Lyonnais";"Montbrison";"D. de la P. Générale";0;;;1;;;1;4;;6
315;"Montcornet";2502;"Montcornet";"4.01723";"49.6956";"Soissonnais";"Laon";"Brigade";0;;;;;;1;4;;5
307;"Montdidier";80561;"Montdidier";"2.56667";"49.65";"Picardie";"Amiens";"Brigade";1;;;;;1;;4;;5
317;"Montélimar";26198;"Montélimar";"4.75";"44.5667";"Dauphiné";"Valence";"Brigade";1;;;;1;;;4;;5
318;"Montereau";45213;"Montereau";"2.56667";"47.85";"Paris";"Sens";"Brigade";0;;;;;1;;4;;5
320;"Montfaucon";2505;"Montfaucon";"3.45";"48.95";"Champagne";"Challons";"Brigade";0;;;;;1;;4;;5
319;"Montfort";"‎78420";"Montfort-l'Amaury";"1.81667";"48.7833";"Paris";"Mantes";"Brigade";0;;;;;;1;4;;5
321;"Montierender";52331;"Montier-en-Der";"4.76667";"48.4833";"Champagne";"Troyes";"Brigade";1;;;;;;1;4;;5
323;"Montluçon";3185;"Montluçon";"2.6";"46.3333";"Bourbonnais";"Moulins";"Brigade";0;;;;1;;;4;;5
322;"Montluel";1262;"Montluel";"5.05";"45.85";"Bourgogne";"Bourg";"Brigade";1;;;;;;1;4;;5
324;"Montmaraud";3186;"Montmarault";"2.95";"46.3167";"Bourbonnais";"Moulins";"Brigade";0;;;;;1;;4;;5
326;"Montmirel";51380;"Montmirail";"3.53333";"48.8667";"Soissonnais";"Soissons";"Brigade";0;;;;;;1;4;;5
327;"Montmorillon";86165;"Montmorillon";"0.866667";"46.4333";"Poitou";"Montmorillon";"D. de la P. Générale";0;;;1;1;;;4;;6
328;"Montoire";41149;"Montoire-sur-le-Loir";"0.866667";"47.75";"Orléanais";"Blois";"Brigade";0;;;;;;1;4;;5
329;"Montpellier";34172;"Montpellier";"3.88333";"43.6";"Languedoc";"Montpellier";"P. Générale";1;1;;1;1;1;1;12;1;18
332;"Montreuil";27414;"Montreuil-l'Argillé";"0.483333";"48.9333";"Alençon";"Falaise";"Brigade";0;;;;1;;;4;;5
333;"Montreuil";62588;"Montreuil";"1.76417";"50.4644";"Picardie";"Boulogne";"Brigade";1;;;;;;1;4;;5
334;"Morlaix";29151;"Morlaix";"-3.83333";"48.5833";"Bretagne";"Quimper";"Brigade";1;;;;1;;;4;;5
335;"Morley";55359;"Morley";"5.25";"48.5833";"Lorraine";"Bar le duc";"Brigade";0;;;;;1;;4;;5
336;"Mortagne";61293;"Mortagne-au-Perche";"0.55";"48.5167";"Alençon";"Alençon";"Brigade";1;;;;1;;;4;;5
337;"Mortain";50359;"Mortain";"-0.933333";"48.65";"Caen";"Caen";"Brigade";0;;;;;;1;4;;5
338;"Moulins";3190;"Moulins";"3.33333";"46.5667";"Bourbonnais";"Moulins";"P. Générale";1;1;;1;;1;1;8;1;13
339;"Mur de Barrez";"‎12164";"Mur-de-Barrez";"2.65";"44.85";"Montauban";"Rhodez";"Brigade";0;;;;1;;;4;;5
340;"Murat";15138;"Murat";"2.86667";"45.1167";"Auvergne";"St Flour";"Brigade";0;;;;;;1;4;;5
341;"Mussidan";24299;"Mussidan";"0.366667";"45.0333";"Guyenne";"Perigueux";"Brigade";0;;;;;1;;4;;5
342;"Nancy";54395;"Nancy";"6.2";"48.6833";"Lorraine";"Nancy";"P. Générale";1;1;;1;1;1;;8;1;13
343;"Nangis";77327;"Nangis";3;"48.55";"Paris";"Provins";"Brigade";1;;;;;1;;4;;5
344;"Nantes";44109;"Nantes";"-1.55";"47.2167";"Bretagne";"Nantes";"D. de la P. Générale";1;;;1;1;;;4;;6
345;"Narbonne";11262;"Narbonne";3;"43.1833";"Languedoc";"Carcassonne";"Brigade";1;;;;1;;;4;;5
346;"Neaufle";27426;"Neaufles-Saint-Martin";"1.73333";"49.2833";"Paris";"Mantes";"Brigade";1;;;;1;;;4;;5
347;"Nemours";77333;"Nemours";"2.7";"48.2667";"Paris";"Melun";"Brigade";1;;;;1;;;4;;5
348;"Nerac";47195;"Nérac";"0.35";"44.1333";"Guyenne";"Agen";"Brigade";0;;;;1;;;4;;5
349;"Neufchateau";88321;"Neufchâteau";"5.7";"48.35";"Lorraine";"Bar le duc";"Brigade";1;;;;1;;1;4;;6
350;"Neufchatel";76462;"Neufchâtel-en-Bray";"1.45";"49.7333";"Rouen";"Rouen";"Brigade";0;;;;;1;;4;;5
351;"Nevers";58194;"Nevers";"3.16667";"46.9833";"Bourbonnais";"Nevers";"D. de la P. Générale";1;;;1;1;;;4;;6
353;"Nîmes";30189;"Nîmes";"4.35";"43.8333";"Languedoc";"Montpellier";"Brigade";1;;;;1;;1;8;;10
352;"Nions";26220;"Nyons";"5.13333";"44.3667";"Dauphiné";"Gap";"Brigade";0;;;;1;;;4;;5
354;"Niort";79191;"Niort";"-0.466667";"46.3167";"Poitou";"Fontenay le Comte";"Brigade";1;;;;1;;;4;;5
355;"Nogaro";32296;"Nogaro";"-0.033333";"43.7667";"Béarn";"Mont de Marsan";"Brigade";0;;;;;;1;4;;5
356;"Nogent";10268;"Nogent-sur-Seine";"3.5046";"48.4365";"Paris";"Provins";"Brigade";1;;;;1;;;4;;5
357;"Nontron";24311;"Nontron";"0.666667";"45.5333";"Guyenne";"Perigueux";"Brigade";0;;;;;;1;4;;5
358;"Noyers";89279;"Noyers";4;"47.7";"Bourgogne";"Auxerre";"Brigade";0;;;;;;1;4;;5
359;"Noyon";60471;"Noyon";3;"49.5833";"Soissonnais";"Soissons";"Brigade";1;;;;1;;;4;;5
360;"Nozai";44113;"Nozay";"-1.63333";"47.5667";"Bretagne";"Nantes";"Brigade";1;;;;;;1;4;;5
361;"Oléron";64422;"Oloron-Sainte-Marie";"-0.6";"43.2";"Béarn";"Pau";"Brigade";0;;;;;1;;4;;5
362;"Orange";84087;"Orange";"4.8";"44.1333";"Dauphiné";"Valence";"Brigade";0;;;;1;;;4;;5
363;"Orléans";45234;"Orléans";"1.9";"47.9167";"Orléanais";"Orléans";"P. Générale";1;1;;2;1;1;1;12;1;19
364;"Ouchi le Chateau";"‎02210";"Condé-sur-Aisne";"3.45";"49.4";"Soissonnais";"Soissons";"Brigade";0;;;;;;1;4;;5
365;"Paluau";"‎85169";"Palluau";"-1.61667";"46.8";"Poitou";"Montaigu";"Brigade";0;;;;;;1;4;;5
366;"Pamiers";9225;"Pamiers";"1.6";"43.1167";"Roussillon";"Pamiers";"D. de la P. Générale";0;;;1;;;1;4;;6
367;"Paris";75056;"Paris";"2.34445";"48.86";"Ile-de-France";"Paris";"P. Générale";1;1;;1;4;;;11;1;18
